Country,Happiness Rank,Happiness Score,Whisker.high,Whisker.low,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Norway,1,7.537000179,7.594444821,7.479555538,1.616463184,0.796666503,0.635422587,0.315963835,0.362012237
Denmark,2,7.521999836,7.581728065,7.462271607,1.482383013,0.792565525,0.626006722,0.400770068,0.355280489
Iceland,3,7.504000187,7.622030473,7.385969901,1.48063302,0.833552122,0.627162635,0.153526559,0.475540221
Switzerland,4,7.493999958,7.56177242,7.426227496,1.564979553,0.858131289,0.620070577,0.367007285,0.290549278
Finland,5,7.468999863,7.527542076,7.41045765,1.443571925,0.80915767,0.617950857,0.382611543,0.245482773
Netherlands,6,7.376999855,7.427425841,7.326573869,1.503944635,0.810696125,0.585384488,0.282661825,0.47048983
Canada,7,7.315999985,7.384402835,7.247597134,1.479204416,0.834557652,0.611100912,0.287371516,0.435539722
New Zealand,8,7.31400013,7.379510442,7.248489818,1.405706048,0.816759706,0.61406213,0.382816702,0.500005126
Sweden,9,7.28399992,7.344094877,7.223904962,1.494387269,0.830875158,0.612924099,0.384398729,0.385399252
Australia,10,7.28399992,7.356651225,7.211348615,1.484414935,0.843886793,0.601607382,0.30118373,0.47769925
Israel,11,7.212999821,7.279853256,7.146146385,1.375382423,0.838404,0.405988604,0.0852421,0.330082655
Costa Rica,12,7.078999996,7.168111666,6.989888326,1.109706283,0.759509265,0.58013165,0.100106589,0.214613229
Austria,13,7.006000042,7.070669812,6.941330272,1.487097263,0.815328419,0.56776619,0.221060365,0.316472322
United States,14,6.993000031,7.074656748,6.911343313,1.546259284,0.774286628,0.505740523,0.135638788,0.392578781
Ireland,15,6.977000237,7.043351668,6.910648805,1.535706639,0.809782624,0.573110342,0.298388153,0.427858323
Germany,16,6.951000214,7.005381569,6.896618858,1.487923384,0.798950732,0.562511384,0.276731938,0.33626917
Belgium,17,6.890999794,6.95582075,6.826178838,1.463780761,0.818091869,0.539770722,0.251343131,0.231503338
Luxembourg,18,6.862999916,6.9236861,6.802313732,1.741943598,0.845089495,0.596627891,0.318834424,0.283180982
United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,0.805335939,0.508190036,0.265428066,0.492774159
Chile,20,6.65199995,6.73925056,6.564749341,1.25278461,0.819479704,0.376895279,0.082287982,0.326662421
United Arab Emirates,21,6.647999763,6.722047304,6.573952223,1.626343369,0.726798236,0.60834527,0.324489564,0.360941947
Brazil,22,6.635000229,6.725469502,6.544530956,1.10735321,0.616552353,0.437453747,0.111092761,0.162349895
Czech Republic,23,6.609000206,6.683862463,6.534137949,1.352682352,0.754444003,0.490946174,0.036872927,0.088106759
Argentina,24,6.598999977,6.690085086,6.507914868,1.185295463,0.695137084,0.494519204,0.059739888,0.109457061
Mexico,25,6.578000069,6.671148908,6.48485123,1.153183818,0.709978998,0.412730008,0.132774115,0.120990433
Singapore,26,6.572000027,6.636723069,6.507276984,1.69227767,0.949492395,0.549840569,0.464307785,0.345965981
Malta,27,6.52699995,6.598396773,6.455603128,1.343279839,0.821944237,0.588767052,0.153066069,0.574730575
Uruguay,28,6.453999996,6.545906218,6.362093775,1.217559695,0.719216824,0.579392254,0.178061873,0.175096929
Guatemala,29,6.453999996,6.566873973,6.34112602,0.872001946,0.54023999,0.531310618,0.077223279,0.283488393
Panama,30,6.452000141,6.557130716,6.346869566,1.233748436,0.706156135,0.550026834,0.070983924,0.210556939
France,31,6.441999912,6.515767802,6.368232022,1.430923462,0.844465852,0.470222116,0.172502428,0.129762307
Thailand,32,6.423999786,6.509116856,6.338882717,1.127868772,0.647239029,0.580200732,0.031612735,0.57212311
Taiwan Province of China,33,6.421999931,6.494596022,6.349403841,1.433626533,0.793984234,0.361466587,0.063829236,0.258360475
Spain,34,6.402999878,6.471054845,6.334944911,1.384397864,0.8889606,0.40878123,0.070914097,0.190133572
Qatar,35,6.375,6.568476814,6.181523186,1.870765686,0.710098088,0.604130983,0.439299256,0.33047387
Colombia,36,6.356999874,6.452020054,6.261979694,1.070622325,0.595027924,0.477487415,0.046668742,0.149014473
Saudi Arabia,37,6.343999863,6.444166612,6.243833113,1.530623555,0.59014833,0.449750572,0.273432255,0.147616014
Trinidad and Tobago,38,6.168000221,6.381533891,5.954466552,1.361355901,0.519983292,0.518630743,0.008964816,0.325296462
Kuwait,39,6.105000019,6.191956989,6.018043049,1.632952452,0.632105708,0.496337593,0.21515955,0.228289798
Slovakia,40,6.09800005,6.177348412,6.018651687,1.325393558,0.712732911,0.295817465,0.024210852,0.136544481
Bahrain,41,6.086999893,6.178989068,5.995010719,1.488412261,0.653133035,0.536746919,0.25704217,0.172668487
Malaysia,42,6.084000111,6.179979637,5.988020585,1.29121542,0.618784428,0.402264982,0.065600708,0.41660893
Nicaragua,43,6.071000099,6.1865836,5.955416598,0.737299204,0.653095961,0.447551847,0.130687982,0.301674217
