Country,Continent,Coordinates,Region,Happiness_Rank,Happiness_Score,Economy_GDP_per_Capita,Healthy_Life_Expectancy,Freedom,Trust_Government_Corruption,Generosity
Afghanistan,Asia,"34.51666667,69.183333",Southern Asia,145,3.632,0.332,0.255,0.085,0.036,0.191
Albania,Europe,"41.31666667,19.816667",Central and Eastern Europe,112,4.586,0.916,0.79,0.419,0.032,0.149
Algeria,Africa,"36.75,3.05",Middle East and Northern Africa,84,5.295,0.979,0.687,0.077,0.135,0.055
Angola,Africa,"-8.833333333,13.216667",Sub-Saharan Africa,142,3.795,0.73,0.269,0,0.061,0.079
Argentina,South America,"-34.58333333,-58.666667",Latin America and Caribbean,29,6.388,1.073,0.744,0.57,0.054,0.062
Armenia,Europe,"40.16666667,44.5",Central and Eastern Europe,129,4.321,0.816,0.666,0.26,0.028,0.077
Australia,Australia,"-35.26666667,149.133333",Australia and New Zealand,10,7.272,1.34,0.91,0.647,0.302,0.361
Austria,Europe,"48.2,16.366667",Western Europe,12,7.139,1.341,0.891,0.617,0.224,0.242
Azerbaijan,Europe,"40.38333333,49.866667",Central and Eastern Europe,87,5.201,1.024,0.603,0.43,0.176,0.031
Bahrain,Asia,"26.23333333,50.566667",Middle East and Northern Africa,43,6.105,1.338,0.698,0.594,0.123,0.243
Bangladesh,Asia,"23.71666667,90.4",Southern Asia,115,4.5,0.532,0.579,0.58,0.144,0.153
Belarus,Europe,"53.9,27.566667",Central and Eastern Europe,73,5.483,1.039,0.7,0.307,0.154,0.101
Belgium,Europe,"50.83333333,4.333333",Western Europe,16,6.927,1.324,0.894,0.583,0.24,0.188
Benin,Africa,"6.483333333,2.616667",Sub-Saharan Africa,136,4.141,0.378,0.24,0.44,0.067,0.163
Bhutan,Asia,"27.46666667,89.633333",Southern Asia,97,5.082,0.796,0.527,0.541,0.171,0.364
Bolivia,South America,"-16.5,-68.15",Latin America and Caribbean,62,5.752,0.751,0.508,0.606,0.054,0.141
Bosnia and Herzegovina,Europe,"43.86666667,18.416667",Central and Eastern Europe,93,5.129,0.915,0.758,0.28,0,0.216
Botswana,Africa,"-24.63333333,25.9",Sub-Saharan Africa,146,3.59,1.017,0.417,0.557,0.092,0.042
Brazil,South America,"-15.78333333,-47.916667",Latin America and Caribbean,28,6.419,0.986,0.675,0.493,0.088,0.11
Bulgaria,Europe,"42.68333333,23.316667",Central and Eastern Europe,100,4.933,1.054,0.712,0.359,0.009,0.064
Burkina Faso,Africa,"12.36666667,-1.516667",Sub-Saharan Africa,121,4.424,0.314,0.254,0.312,0.128,0.175
Myanmar,Asia,"16.8,96.15",Southeastern Asia,130,4.308,0.682,0.429,0.58,0.178,0.598
Burundi,Africa,"-3.366666667,29.35",Sub-Saharan Africa,156,2.905,0.091,0.145,0.065,0.076,0.149
Cambodia,Asia,"11.55,104.916667",Southeastern Asia,120,4.433,0.549,0.457,0.696,0.065,0.256
Cameroon,Africa,"3.866666667,11.516667",Sub-Saharan Africa,99,4.975,0.535,0.182,0.454,0.043,0.183
Canada,Central America,"45.41666667,-75.7",North America,7,7.328,1.33,0.896,0.653,0.291,0.321
Central African Republic,Africa,"4.366666667,18.583333",Sub-Saharan Africa,155,3.083,0.024,0.01,0.305,0.038,0.218
Chad,Africa,"12.1,15.033333",Sub-Saharan Africa,131,4.301,0.358,0.053,0.189,0.06,0.181
Chile,South America,"-33.45,-70.666667",Latin America and Caribbean,25,6.476,1.131,0.808,0.431,0.061,0.197
China,Asia,"39.91666667,116.383333",Eastern Asia,86,5.246,0.989,0.799,0.597,0.103,0.029
Colombia,South America,"4.6,-74.083333",Latin America and Caribbean,37,6.26,0.96,0.635,0.531,0.039,0.099
Costa Rica,Central America,"9.933333333,-84.083333",Latin America and Caribbean,13,7.072,1.01,0.817,0.632,0.101,0.143
Croatia,Europe,"45.8,16",Central and Eastern Europe,82,5.321,1.115,0.737,0.38,0.039,0.12
Cyprus,Europe,"35.16666667,33.366667",Western Europe,61,5.762,1.229,0.909,0.423,0.035,0.202
Czech Republic,Europe,"50.08333333,14.466667",Central and Eastern Europe,21,6.711,1.233,0.854,0.543,0.034,0.064
Denmark,Europe,"55.66666667,12.583333",Western Europe,3,7.555,1.351,0.868,0.683,0.408,0.284
Dominican Republic,North America,"18.46666667,-69.9",Latin America and Caribbean,83,5.302,0.982,0.614,0.578,0.106,0.12
Ecuador,South America,"-0.216666667,-78.5",Latin America and Caribbean,48,5.973,0.889,0.736,0.556,0.12,0.114
Egypt,Africa,"30.05,31.25",Middle East and Northern Africa,122,4.419,0.885,0.553,0.312,0.107,0.092
El Salvador,Central America,"13.7,-89.2",Latin America and Caribbean,40,6.167,0.806,0.639,0.461,0.082,0.065
Estonia,Europe,"59.43333333,24.716667",Central and Eastern Europe,63,5.739,1.2,0.737,0.553,0.174,0.086
Ethiopia,Africa,"9.033333333,38.7",Sub-Saharan Africa,127,4.35,0.308,0.391,0.452,0.146,0.22
Finland,Europe,"60.16666667,24.933333",Western Europe,1,7.632,1.305,0.874,0.681,0.393,0.202
France,Europe,"48.86666667,2.333333",Western Europe,23,6.489,1.293,0.908,0.52,0.176,0.098
Gabon,Africa,"0.383333333,9.45",Sub-Saharan Africa,103,4.758,1.036,0.404,0.356,0.052,0.032
Georgia,Europe,"41.68333333,44.833333",Central and Eastern Europe,128,4.34,0.853,0.643,0.375,0.215,0.038
Germany,Europe,"52.51666667,13.4",Western Europe,15,6.965,1.34,0.861,0.586,0.28,0.273
Ghana,Africa,"5.55,-0.216667",Sub-Saharan Africa,108,4.657,0.592,0.337,0.499,0.029,0.212
Greece,Europe,"37.98333333,23.733333",Western Europe,79,5.358,1.154,0.879,0.131,0.044,0
Guatemala,Central America,"14.61666667,-90.516667",Latin America and Caribbean,30,6.382,0.781,0.608,0.604,0.071,0.179
Guinea,Africa,"9.5,-13.7",Sub-Saharan Africa,140,3.964,0.344,0.211,0.394,0.094,0.185
Haiti,North America,"18.53333333,-72.333333",Latin America and Caribbean,148,3.582,0.315,0.289,0.025,0.104,0.392
Honduras,Central America,"14.1,-87.216667",Latin America and Caribbean,72,5.504,0.62,0.622,0.459,0.074,0.197
Hungary,Europe,"47.5,19.083333",Central and Eastern Europe,69,5.62,1.171,0.732,0.259,0.022,0.061
Iceland,Europe,"64.15,-21.95",Western Europe,4,7.495,1.343,0.914,0.677,0.138,0.353
India,Asia,"28.6,77.2",Southern Asia,133,4.19,0.721,0.485,0.539,0.093,0.172
Indonesia,Asia,"-6.166666667,106.816667",Southeastern Asia,96,5.093,0.899,0.522,0.538,0.018,0.484
Iran,Asia,"35.7,51.416667",Middle East and Northern Africa,106,4.707,1.059,0.691,0.459,0.129,0.282
Iraq,Asia,"33.33333333,44.4",Middle East and Northern Africa,117,4.456,1.01,0.536,0.304,0.095,0.148
Ireland,Europe,"53.31666667,-6.233333",Western Europe,14,6.977,1.448,0.876,0.614,0.306,0.307
Israel,Asia,"31.76666667,35.233333",Middle East and Northern Africa,19,6.814,1.301,0.883,0.533,0.272,0.354
Italy,Europe,"41.9,12.483333",Western Europe,47,6,1.264,0.946,0.281,0.028,0.137
Jamaica,North America,"18,-76.8",Latin America and Caribbean,56,5.89,0.819,0.693,0.575,0.031,0.096
Japan,Asia,"35.68333333,139.75",Eastern Asia,54,5.915,1.294,0.988,0.553,0.15,0.079
Jordan,Asia,"31.95,35.933333",Middle East and Northern Africa,90,5.161,0.822,0.645,0.468,0.134,0.13
Kazakhstan,Asia,"51.16666667,71.416667",Central and Eastern Europe,60,5.79,1.143,0.631,0.454,0.121,0.148
Kenya,Africa,"-1.283333333,36.816667",Sub-Saharan Africa,124,4.41,0.493,0.454,0.504,0.055,0.352
South Korea,Asia,"37.55,126.983333",Eastern Asia,57,5.875,1.266,0.955,0.244,0.051,0.175
Kosovo,Europe,"42.66666667,21.166667",Central and Eastern Europe,66,5.662,0.855,0.578,0.448,0.023,0.274
Kuwait,Asia,"29.36666667,47.966667",Middle East and Northern Africa,45,6.083,1.474,0.675,0.554,0.106,0.167
Kyrgyzstan,Asia,"42.86666667,74.6",Central and Eastern Europe,92,5.131,0.53,0.594,0.54,0.035,0.281
Laos,Asia,"17.96666667,102.6",Southeastern Asia,110,4.623,0.72,0.441,0.626,0.174,0.23
Latvia,Europe,"56.95,24.1",Central and Eastern Europe,53,5.933,1.148,0.671,0.363,0.066,0.092
Lebanon,Asia,"33.86666667,35.5",Middle East and Northern Africa,80,5.358,0.965,0.785,0.503,0.136,0.214
Lesotho,Africa,"-29.31666667,27.483333",Sub-Saharan Africa,141,3.808,0.472,0.079,0.423,0.112,0.116
Liberia,Africa,"6.3,-10.8",Sub-Saharan Africa,149,3.495,0.076,0.267,0.419,0.03,0.206
Libya,Africa,"32.88333333,13.166667",Middle East and Northern Africa,70,5.566,0.985,0.553,0.496,0.148,0.116
Lithuania,Europe,"54.68333333,25.316667",Central and Eastern Europe,50,5.952,1.197,0.716,0.35,0.006,0.026
Luxembourg,Europe,"49.6,6.116667",Western Europe,17,6.91,1.576,0.896,0.632,0.321,0.196
Macedonia,Europe,"42,21.433333",Central and Eastern Europe,89,5.185,0.959,0.691,0.394,0.052,0.173
Madagascar,Africa,"-18.91666667,47.516667",Sub-Saharan Africa,143,3.774,0.262,0.402,0.221,0.049,0.155
Malawi,Africa,"-13.96666667,33.783333",Sub-Saharan Africa,147,3.587,0.186,0.306,0.531,0.08,0.21
Malaysia,Asia,"3.166666667,101.7",Southeastern Asia,35,6.322,1.161,0.669,0.356,0.059,0.311
Mali,Africa,"12.65,-8",Sub-Saharan Africa,118,4.447,0.37,0.152,0.367,0.056,0.139
Malta,Europe,"35.88333333,14.5",Western Europe,22,6.627,1.27,0.884,0.645,0.142,0.376
Mauritania,Africa,"18.06666667,-15.966667",Sub-Saharan Africa,126,4.356,0.557,0.292,0.129,0.093,0.134
