Country,pop_est,continent,Coordinates,Region,Happiness_Rank,Happiness_Score,Economy_GDP_per_Capita,Health_Life_Expectancy,Freedom,Trust_Government_Corruption,Generosity
Afghanistan,28400000,Asia,"66.00473,33.83523",Southern Asia,154,3.203,0.35,0.361,0,0.025,0.158
Albania,3639453,Europe,"20.04983,41.14245",Central and Eastern Europe,107,4.719,0.947,0.874,0.383,0.027,0.178
United Arab Emirates,4798491,Asia,"54.30017,23.90528",Middle East and Northern Africa,21,6.825,1.503,0.825,0.598,0.182,0.262
Argentina,40913584,South America,"-65.1798,-35.3813",Latin America and Caribbean,47,6.086,1.092,0.881,0.471,0.05,0.066
Armenia,2967004,Asia,"44.92993,40.28953",Central and Eastern Europe,116,4.559,0.85,0.815,0.283,0.064,0.095
Australia,21262641,Oceania,"134.491,-25.7329",Australia and New Zealand,11,7.228,1.372,1.036,0.557,0.29,0.332
Austria,8210281,Europe,"14.12648,47.58549",Western Europe,10,7.246,1.376,1.016,0.532,0.226,0.244
Azerbaijan,8238672,Asia,"47.546,40.28827",Central and Eastern Europe,90,5.208,1.043,0.769,0.351,0.182,0.035
Burundi,8988091,Africa,"29.87512,-3.3594",Sub-Saharan Africa,145,3.775,0.046,0.38,0.22,0.18,0.176
Belgium,10414336,Europe,"4.640651,50.63982",Western Europe,18,6.923,1.356,0.986,0.473,0.21,0.16
Benin,8791832,Africa,"2.327853,9.64176",Sub-Saharan Africa,102,4.883,0.393,0.397,0.349,0.082,0.175
Burkina Faso,15746232,Africa,"-1.75457,12.26954",Sub-Saharan Africa,115,4.587,0.331,0.38,0.255,0.113,0.177
Bangladesh,156050883,Asia,"90.23813,23.86731",Southern Asia,125,4.456,0.562,0.723,0.527,0.143,0.166
Bulgaria,7204687,Europe,"25.21553,42.7689",Central and Eastern Europe,97,5.011,1.092,0.815,0.311,0.004,0.081
Bahrain,727785,Asia,"50.54197,26.04205",Middle East and Northern Africa,37,6.199,1.362,0.871,0.536,0.11,0.255
Canada,33487208,North America,"-98.3078,61.36206",North America,9,7.278,1.365,1.039,0.584,0.308,0.285
Bosnia and Herzegovina,4613414,Europe,"17.76877,44.1745",Central and Eastern Europe,78,5.386,0.945,0.845,0.212,0.006,0.263
Belarus,9648533,Europe,"28.03209,53.53131",Central and Eastern Europe,81,5.323,1.067,0.789,0.235,0.142,0.094
Bolivia,9775246,South America,"-64.6854,-16.7081",Latin America and Caribbean,61,5.779,0.776,0.706,0.511,0.064,0.137
